Project,Season,State,City,Location,Address,Date,Map,Confirmed,REP(s),Assignment
"IKF-S6-008","Season 6","Rajasthan","Udaipur","","Udaipur, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Udaipur%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Balaghat","","Balaghat, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Balaghat%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Barwani","","Barwani, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Barwani%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Bhopal","","Bhopal, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Bhopal%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Dewas","","Dewas, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Dewas%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Khargone","","Khargone, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Khargone%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Raisen","","Raisen, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Raisen%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Ratlam","","Ratlam, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Ratlam%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Shahdol","","Shahdol, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Shahdol%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Alwar","","Alwar, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Alwar%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Bharatpur","","Bharatpur, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Bharatpur%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Bhilwara","","Bhilwara, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Bhilwara%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Dausa","","Dausa, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Dausa%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Jaipur","","Jaipur, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Jaipur%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Jaisalmer","","Jaisalmer, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Jaisalmer%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Jodhpur","","Jodhpur, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Jodhpur%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Kota","","Kota, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Kota%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Nagaur","","Nagaur, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Nagaur%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Pali","","Pali, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Pali%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Udaipur","","Udaipur, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Udaipur%2C%20Rajasthan","No","","Unassigned"
"TRI-S6-001","Season 6","Gujarat","Vadodara","","Vadodara, Gujarat","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Vadodara%2C%20Gujarat","No","Physical Evolution","Assigned"
"TRI-S6-001","Season 6","Maharashtra","Pune","","Pune, Maharashtra","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Pune%2C%20Maharashtra","No","4 Lions Academy","Assigned"
"TRI-S6-001","Season 6","Uttar Pradesh","Aligarh","","Aligarh, Uttar Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Aligarh%2C%20Uttar%20Pradesh","No","United Football Academy","Assigned"
"IKF-S6-006","Season 6","Rajasthan","Chittaurgarh","","Chittaurgarh, Rajasthan","27 Jul 2026","https://www.google.com/maps/search/?api=1&query=Chittaurgarh%2C%20Rajasthan","Yes","Morning Football Academy","Assigned"
"TRI-S6-001","Season 6","Haryana","Fatehabad, Dhingsara","Play Ground Dhingsara","Play Ground Dhingsara, 125053","28 Jul 2026","https://maps.app.goo.gl/LUGRY6kMYQ3iF7ri7?g_st=aw","Yes","Dhingsara Football Club","Assigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Gwalior","","Gwalior, Madhya Pradesh","30 Jul 2026","https://www.google.com/maps/search/?api=1&query=Gwalior%2C%20Madhya%20Pradesh","Yes","","Unassigned"
"IKF-S6-004","Season 6","Karnataka","Davanagere","Karunadu Football Club","Karunadu Football Club, at Lourdes Boys School,  Church Road, Near Saint Thomas Church,  , Prince Jaychamaraj Wodeyar  Extension, Davangere. KARNATAKA, 577002","02 Aug 2026","https://share.google/nCLGO4PJ3VeE4Nqry","Yes","Karunada FC","Assigned"
"IKF-S6-001","Season 6","Bihar","Patna, CBSE Clusters","","Patna, CBSE Clusters, Bihar","02 Aug 2026","https://www.google.com/maps/search/?api=1&query=Patna%2C%20CBSE%20Clusters%2C%20Bihar","Yes","","Unassigned"
"IKF-S6-004","Season 6","Karnataka","Bengaluru, North","Rebels Football Academy","Rebels Football Academy, Devanahalli, Bengaluru, Karnataka 562135","30 Aug 2026","https://maps.app.goo.gl/pZDTBYP28q1GTam2A?g_st=ic","Yes","Rebels FC","Assigned"
"IKF-S6-004","Season 6","Karnataka","Dharwad","KCD Ground","KCD Ground, Dharwad","30 Aug 2026","https://maps.app.goo.gl/oBS9https://maps.app.goo.gl/oBS9wHjG8unTtuMg7?g_st=awwHjG8unTtuMg7?g_st=aw","Yes","Dharwad District Football Association","Assigned"
"IKF-S6-008","Season 6","Rajasthan","Bikaner","","Bikaner, Rajasthan","06 Sept 2026","https://www.google.com/maps/search/?api=1&query=Bikaner%2C%20Rajasthan","Yes","Master Bacchi Club","Assigned"
"IKF-S6-006","Season 6","Rajasthan","Bikaner","","Bikaner, Rajasthan","06 Sept 2026","https://www.google.com/maps/search/?api=1&query=Bikaner%2C%20Rajasthan","Yes","","Unassigned"
"IKF-S6-004","Season 6","Karnataka","Bengaluru, South","The Sports School","The Sports School, Karnataka 562112","06 Sept 2026","https://maps.app.goo.gl/mvDQRKN9KfAwEApp9","Yes","The Sports School","Assigned"
"IKF-S6-004","Season 6","Karnataka","Karwar","Maladevi Ground Karwar 581301","Maladevi Ground Karwar 581301","06 Sept 2026","https://maps.app.goo.gl/v6UgYz5ksWyTGe3K6?g_st=awb","Yes","Bold and Dynamic Sports Club","Assigned"
"IKF-S6-004","Season 6","Karnataka","Mysuru","PUTTARAJU GAVAYI STADIUM","PUTTARAJU GAVAYI STADIUM, J.P.NAGAR, MYSORE","06 Sept 2026","https://share.google/scpoVHPIuDDsxeM6Z","Yes","Titans FC","Assigned"
"TRI-S6-001","Season 6","Delhi","Delhi","","Delhi, Delhi","06 Sept 2026","https://www.google.com/maps/search/?api=1&query=Delhi%2C%20Delhi","No","","Unassigned"
"TRI-S6-001","Season 6","Maharashtra","Nashik","Nashik juniors football Ground","Nashik juniors football Ground , Fravashi Town Academy , Sharanpur road Nashik","06 Sept 2026","https://maps.app.goo.gl/xAYTVXrbc8D9X5D19?g_st=awb","Yes","Box2Box Sports","Assigned"
"IKF-S6-006","Season 6","Rajasthan","Churu","","Churu, Rajasthan","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Churu%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-002","Season 6","Uttar Pradesh","Meerut","","Meerut, Uttar Pradesh","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Meerut%2C%20Uttar%20Pradesh","No","","Unassigned"
"TRI-S6-001","Season 6","Jharkhand","Bokaro","","Bokaro, Jharkhand","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Bokaro%2C%20Jharkhand","No","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Jharkhand","Dhanbad","","Dhanbad, Jharkhand","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Dhanbad%2C%20Jharkhand","No","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Jharkhand","Gumla","","Gumla, Jharkhand","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Gumla%2C%20Jharkhand","No","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Jharkhand","Hazaribagh","","Hazaribagh, Jharkhand","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Hazaribagh%2C%20Jharkhand","No","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Jharkhand","Jamshedpur","","Jamshedpur, Jharkhand","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Jamshedpur%2C%20Jharkhand","No","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Tamil Nadu","Chennai","","Chennai, Tamil Nadu","10 Sept 2026","https://www.google.com/maps/search/?api=1&query=Chennai%2C%20Tamil%20Nadu","No","","Unassigned"
"IKF-S6-008","Season 6","Rajasthan","Ganganagar","","Ganganagar, Rajasthan","12 Sept 2026","https://www.google.com/maps/search/?api=1&query=Ganganagar%2C%20Rajasthan","Yes","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Ganganagar","Golden Rays Public School","Golden Rays Public School, Hindumal Kot Road, 5 Y, Sri Ganganagar, Rajasthan 335001","12 Sept 2026","https://maps.app.goo.gl/FaDVoSUdew14WzQ5A","Yes","Falcons Football Academy","Assigned"
"IKF-S6-006","Season 6","Rajasthan","Hanumangarh","","Hanumangarh, Rajasthan","13 Sept 2026","https://www.google.com/maps/search/?api=1&query=Hanumangarh%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Nohar","","Nohar, Rajasthan","13 Sept 2026","https://www.google.com/maps/search/?api=1&query=Nohar%2C%20Rajasthan","No","","Unassigned"
"TRI-S6-001","Season 6","Uttar Pradesh","Dhampur","Priyanka modern school","Priyanka modern school","13 Sept 2026","https://share.google/yw7CyhbYRooTXvR1j","Yes","Meerut Youth Football Academy","Assigned"
"IKF-S6-006","Season 6","Rajasthan","Jhunjhunun","","Jhunjhunun, Rajasthan","19 Sept 2026","https://www.google.com/maps/search/?api=1&query=Jhunjhunun%2C%20Rajasthan","No","Muradpur FC","Assigned"
"IKF-S6-008","Season 6","Rajasthan","Sikar","","Sikar, Rajasthan","20 Sept 2026","https://www.google.com/maps/search/?api=1&query=Sikar%2C%20Rajasthan","Yes","","Unassigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Jabalpur","","Jabalpur, Madhya Pradesh","20 Sept 2026","https://www.google.com/maps/search/?api=1&query=Jabalpur%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Sikar","","Sikar, Rajasthan","20 Sept 2026","https://www.google.com/maps/search/?api=1&query=Sikar%2C%20Rajasthan","Yes","","Unassigned"
"TRI-S6-001","Season 6","Puducherry","Puducherry","PAP Police Ground","PAP Police Ground, Gorimedu, Pondicherry","20 Sept 2026","https://maps.app.goo.gl/Gjzbmv96hgSbezCP6?g_st=ac","No","National Human Resource Foundation","Assigned"
"TRI-S6-001","Season 6","Kerala","Thiruvananthapuram","","Thiruvananthapuram, Kerala","26 Sept 2026","https://www.google.com/maps/search/?api=1&query=Thiruvananthapuram%2C%20Kerala","Yes","","Unassigned"
"IKF-S6-005","Season 6","Assam","Kokrajhar","TITAGURI HIGH SCHOOL","TITAGURI HIGH SCHOOL, KOKRAJHAR","27 Sept 2026","https://maps.app.goo.gl/CysY4d6Z7F3nPH978","Yes","Tribal Sports Football Academy","Assigned"
"IKF-S6-004","Season 6","Karnataka","Bengaluru, Central","","Bengaluru, Central, Karnataka","27 Sept 2026","https://www.google.com/maps/search/?api=1&query=Bengaluru%2C%20Central%2C%20Karnataka","Yes","","Unassigned"
"TRI-S6-001","Season 6","Jammu and Kashmir","Srinagar","WHS Sports Hub","WHS Sports Hub, Sonwar Bagh, Srinagar 190001 (J&K)","27 Sept 2026","https://g.co/kgs/1gBouHC","Yes","WHS Sports Hub","Assigned"
"TRI-S6-001","Season 6","Tamil Nadu","Tiruchirappalli","","Tiruchirappalli, Tamil Nadu","27 Sept 2026","https://www.google.com/maps/search/?api=1&query=Tiruchirappalli%2C%20Tamil%20Nadu","No","Shaz Football Academy","Assigned"
"IKF-S6-004","Season 6","Karnataka","Udupi","","Udupi, Karnataka","30 Sept 2026","https://www.google.com/maps/search/?api=1&query=Udupi%2C%20Karnataka","No","","Unassigned"
"IKF-S6-008","Season 6","Rajasthan","Nimbahera","Dr Shyama Prasad Mukherjee Stadium(Janta Maidan)  Nimbahera","Dr Shyama Prasad Mukherjee Stadium(Janta Maidan)  Nimbahera, Chitttoragrh","03 Oct 2026","https://maps.app.goo.gl/SeNbakqLEgv5WVNp6","Yes","NFA","Assigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Indore","Parasrampuriya Academy","Parasrampuriya Academy, Rajmohalla near Gangwal Bus Stand, Indore, 452002","04 Oct 2026","https://maps.app.goo.gl/XwbTwcdTvgZCfsCi9?g_st=iw","Yes","Best Stars","Assigned"
"IKF-S6-006","Season 6","Rajasthan","Nimbahera","Dr Shyama Prasad Mukherjee Stadium(Janta Maidan)  Nimbahera","Dr Shyama Prasad Mukherjee Stadium(Janta Maidan)  Nimbahera, Chitttoragrh","04 Oct 2026","https://maps.app.goo.gl/SeNbakqLEgv5WVNp6","Yes","NFA","Assigned"
"IKF-S6-004","Season 6","Karnataka","Shimoga","Nehru Stadium","Nehru Stadium, Jayanagar, Karnataka","04 Oct 2026","https://maps.app.goo.gl/WH4ASexhumTvT42VA?g_st=aw","Yes","Shimoga DFA","Assigned"
"TRI-S6-001","Season 6","Bihar","Saharsa","Saharsa Stadium","Saharsa Stadium, Matashyagandha Rd, Police Line, Saharsa, Bihar 852202","04 Oct 2026","https://maps.app.goo.gl/GJQhpYfZgPmPuXZu7?g_st=ac","Yes","Town FC","Assigned"
"TRI-S6-001","Season 6","Maharashtra","Ahmednagar","","Ahmednagar, Maharashtra","04 Oct 2026","https://www.google.com/maps/search/?api=1&query=Ahmednagar%2C%20Maharashtra","Yes","Namoh FC","Assigned"
