Project,Season,State,City,Location,Address,Date,Map,Confirmed,REP(s),Assignment
"IKF-S6-006","Season 6","Andhra Pradesh","Tirupati","","Tirupati, Andhra Pradesh","01 Nov 2026","https://www.google.com/maps/search/?api=1&query=Tirupati%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"TRI-S6-001","Season 6","Maharashtra","Nagpur","Xciteplay club","Xciteplay club, 516/A, Katol Rd, KT Nagar, Nagpur, Maharashtra 440013","01 Nov 2026","https://maps.app.goo.gl/k5vW5NRAQEatqxqY9","Yes","Xciteplay FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Chittoor","","Chittoor, Andhra Pradesh","02 Nov 2026","https://www.google.com/maps/search/?api=1&query=Chittoor%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Nellore","","Nellore, Andhra Pradesh","03 Nov 2026","https://www.google.com/maps/search/?api=1&query=Nellore%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Hindupur","","Hindupur, Andhra Pradesh","07 Nov 2026","https://www.google.com/maps/search/?api=1&query=Hindupur%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-008","Season 6","Andhra Pradesh","Anantapur","","Anantapur, Andhra Pradesh","08 Nov 2026","https://www.google.com/maps/search/?api=1&query=Anantapur%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Anantapur","","Anantapur, Andhra Pradesh","08 Nov 2026","https://www.google.com/maps/search/?api=1&query=Anantapur%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-004","Season 6","Karnataka","Kodagu","INS sports Centre - Guddehosur","INS sports Centre - Guddehosur","08 Nov 2026","https://maps.app.goo.gl/P5k4eutuNitX5XxK6","Yes","Kodagu FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Dharmavaram","","Dharmavaram, Andhra Pradesh","09 Nov 2026","https://www.google.com/maps/search/?api=1&query=Dharmavaram%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Kalyandurg","","Kalyandurg, Andhra Pradesh","10 Nov 2026","https://www.google.com/maps/search/?api=1&query=Kalyandurg%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Rajasthan","Ajmer","","Ajmer, Rajasthan","10 Nov 2026","https://www.google.com/maps/search/?api=1&query=Ajmer%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-006","Season 6","Rajasthan","Kekri","","Kekri, Rajasthan","10 Nov 2026","https://www.google.com/maps/search/?api=1&query=Kekri%2C%20Rajasthan","No","","Unassigned"
"TRI-S6-001","Season 6","Jharkhand","Chaibasa","","Chaibasa, Jharkhand","10 Nov 2026","https://www.google.com/maps/search/?api=1&query=Chaibasa%2C%20Jharkhand","No","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Jharkhand","Ranchi","","Ranchi, Jharkhand","10 Nov 2026","https://www.google.com/maps/search/?api=1&query=Ranchi%2C%20Jharkhand","No","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Maharashtra","Sangli","MATOSHREE TANUBAI DAGADU KHADE ENGLISH SCHOOL& JR  COLLEGE MIRAJ","MATOSHREE TANUBAI DAGADU KHADE ENGLISH SCHOOL& JR  COLLEGE MIRAJ","10 Nov 2026","https://share.google/iiSyGtDlO5c8UlIlc","No","MATOSHREE TANUBAI DAGADU KHADE ENGLISH SCHOOL& JR  COLLEGE MIRAJ","Assigned"
"TRI-S6-001","Season 6","Madhya Pradesh","Indore, MP Finals","","Indore, MP Finals, Madhya Pradesh","10 Nov 2026","https://www.google.com/maps/search/?api=1&query=Indore%2C%20MP%20Finals%2C%20Madhya%20Pradesh","No","","Unassigned"
"TRI-S6-001","Season 6","Uttarakhand","Dehradun","","Dehradun, Uttarakhand","10 Nov 2026","https://www.google.com/maps/search/?api=1&query=Dehradun%2C%20Uttarakhand","No","","Unassigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Guntakal Junction","","Guntakal Junction, Andhra Pradesh","11 Nov 2026","https://www.google.com/maps/search/?api=1&query=Guntakal%20Junction%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Kurnool","","Kurnool, Andhra Pradesh","13 Nov 2026","https://www.google.com/maps/search/?api=1&query=Kurnool%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Vijayawada","","Vijayawada, Andhra Pradesh","15 Nov 2026","https://www.google.com/maps/search/?api=1&query=Vijayawada%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-004","Season 6","Karnataka","Bengaluru, Namma Karnataka Finals","","Bengaluru, Namma Karnataka Finals, Karnataka","15 Nov 2026","https://www.google.com/maps/search/?api=1&query=Bengaluru%2C%20Namma%20Karnataka%20Finals%2C%20Karnataka","No","","Unassigned"
"TRI-S6-001","Season 6","Delhi","Delhi, North Zonals","","Delhi, North Zonals, Delhi","15 Nov 2026","https://www.google.com/maps/search/?api=1&query=Delhi%2C%20North%20Zonals%2C%20Delhi","No","","Unassigned"
"IKF-S6-008","Season 6","Andhra Pradesh","Narasaraopet","","Narasaraopet, Andhra Pradesh","16 Nov 2026","https://www.google.com/maps/search/?api=1&query=Narasaraopet%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Bhimavaram","","Bhimavaram, Andhra Pradesh","18 Nov 2026","https://www.google.com/maps/search/?api=1&query=Bhimavaram%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Kakinada","","Kakinada, Andhra Pradesh","20 Nov 2026","https://www.google.com/maps/search/?api=1&query=Kakinada%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"TRI-S6-001","Season 6","Maharashtra","Mumbai, West Zonal","","Mumbai, West Zonal, Maharashtra","21 Nov 2026","https://www.google.com/maps/search/?api=1&query=Mumbai%2C%20West%20Zonal%2C%20Maharashtra","No","","Unassigned"
"TRI-S6-001","Season 6","Meghalaya","Shillong, North East Zonals","","Shillong, North East Zonals, Meghalaya","21 Nov 2026","https://www.google.com/maps/search/?api=1&query=Shillong%2C%20North%20East%20Zonals%2C%20Meghalaya","No","","Unassigned"
"TRI-S6-001","Season 6","Uttar Pradesh","Varanasi","Saraswati Higher Education and Technical College of Pharmacy","Saraswati Higher Education and Technical College of Pharmacy","21 Nov 2026","https://g.co/kgs/K7gmptD","Yes","UPSC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Rajahmundry","","Rajahmundry, Andhra Pradesh","22 Nov 2026","https://www.google.com/maps/search/?api=1&query=Rajahmundry%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"TRI-S6-001","Season 6","West Bengal","Kolkata","Netajii Sports Complex","Netajii Sports Complex","22 Nov 2026","https://maps.app.goo.gl/t7UoFzhXx3ghWK7VA?g_st=ic","Yes","Dynamic Football Academy","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Tuni","","Tuni, Andhra Pradesh","24 Nov 2026","https://www.google.com/maps/search/?api=1&query=Tuni%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
"IKF-S6-006","Season 6","Andhra Pradesh","Visakhapatnam","","Visakhapatnam, Andhra Pradesh","29 Nov 2026","https://www.google.com/maps/search/?api=1&query=Visakhapatnam%2C%20Andhra%20Pradesh","No","South Clan FC","Assigned"
